Age,Annual_Income,Credit_Score,Loan_Amount,Loan_Term,Employment_Status,Existing_Loan,Property_Owner,Dependents,Loan_Status
59,1622644,795,278471,120,1,0,0,3,1
49,704067,666,1134475,240,0,0,1,0,1
35,1522329,643,522643,360,1,0,0,2,1
28,1069855,581,599813,360,1,1,1,1,1
41,1353869,610,717120,180,1,1,1,0,1
59,1663923,777,147403,36,1,1,0,0,1
39,805365,597,667734,24,1,0,1,4,1
43,1231324,669,361121,60,1,0,1,1,1
31,1154259,432,211961,180,1,0,0,1,1
31,1264667,501,227859,24,0,0,0,1,1
44,1652690,732,171223,24,1,0,1,2,1
56,1641516,681,1011685,180,1,0,0,1,1
44,399345,797,462917,24,1,0,1,0,1
23,907415,636,332572,120,1,0,1,4,1
42,1063536,615,1182717,120,1,0,0,2,1
22,1614072,831,852676,24,1,0,0,3,1
44,684287,720,341408,60,1,1,0,1,1
50,776814,701,87035,36,1,1,1,2,1
58,983532,526,235128,240,1,0,1,4,1
22,966297,838,661022,360,1,0,1,3,1
41,917945,493,208033,12,0,0,1,0,1
53,1193708,473,57237,36,1,0,0,1,1
32,778564,527,1093553,360,0,1,1,1,0
42,504581,473,1118216,180,1,0,0,4,0
45,1241056,795,311835,60,1,1,1,2,1
47,1231622,837,533300,180,1,1,0,2,1
48,311290,655,362728,180,1,1,0,3,0
36,1111555,847,410865,180,1,1,1,1,1
35,512991,501,203879,180,1,1,1,4,0
23,1400712,446,878625,60,1,1,0,2,1
57,1281390,564,540206,36,1,0,0,1,1
27,417278,655,881485,36,0,1,1,2,0
41,1763219,824,653316,180,1,0,0,0,1
29,1504835,682,975136,24,1,0,0,0,1
59,6566346,283,4035195,36,0,1,0,1,1
38,1762573,647,220945,360,1,0,1,1,1
24,688826,603,809039,240,0,1,0,1,0
45,704220,485,338688,180,1,0,0,3,1
34,669322,723,336318,36,0,0,1,4,1
29,1144032,812,1101047,24,1,1,1,3,1
46,1505163,563,375243,60,0,1,1,0,1
22,810798,764,603607,120,1,1,1,0,1
40,1439464,456,1015059,24,1,0,0,0,1
